Bare Conductor Info,,,,,,,,,,,
AWG,mm,NOM BARE OD (in.),CMA Solid,Min CMA,Typical Operating Frequency,,,,,,
12.0,='Preferred strand sizes'!$C3*25.4,0.0808,=(C3*1000)^2,6399.0,,CONSULT RUBADUE ENGINEERING/SALES,,,,,
13.0,='Preferred strand sizes'!$C4*25.4,0.072,=(C4*1000)^2,5076.0,,,,,,,
14.0,='Preferred strand sizes'!$C5*25.4,0.0641,=(C5*1000)^2,4028.0,,,,,,,
15.0,='Preferred strand sizes'!$C6*25.4,0.0571,=(C6*1000)^2,3195.0,,,,,,,
16.0,='Preferred strand sizes'!$C7*25.4,0.0508,=(C7*1000)^2,2528.0,,,,,,,
17.0,='Preferred strand sizes'!$C8*25.4,0.0453,=(C8*1000)^2,2009.0,,,,,,,
18.0,='Preferred strand sizes'!$C9*25.4,0.0403,=(C9*1000)^2,1588.0,,,,,,,
19.0,='Preferred strand sizes'!$C10*25.4,0.0359,=(C10*1000)^2,1264.0,,,,,,,
20.0,='Preferred strand sizes'!$C11*25.4,0.032,=(C11*1000)^2,1000.0,,,,,,,
21.0,='Preferred strand sizes'!$C12*25.4,0.0285,=(C12*1000)^2,796.0,,,,,,,
22.0,='Preferred strand sizes'!$C13*25.4,0.0253,=(C13*1000)^2,627.0,,,,,,,
23.0,='Preferred strand sizes'!$C14*25.4,0.0226,=(C14*1000)^2,501.0,,GREEN HIGHLIGHTED ROWS REFLECT PREFERRED STRAND SIZES,,,,,
24.0,='Preferred strand sizes'!$C15*25.4,0.0201,=(C15*1000)^2,396.0,60 Hz to 1 kHz,,,,,,
25.0,='Preferred strand sizes'!$C16*25.4,0.0179,=(C16*1000)^2,314.0,60 Hz to 1 kHz,,,,,,
26.0,='Preferred strand sizes'!$C17*25.4,0.0159,=(C17*1000)^2,248.0,60 Hz to 1 kHz,,,,,,
27.0,='Preferred strand sizes'!$C18*25.4,0.0142,=(C18*1000)^2,198.0,60 Hz to 1 kHz,,,,,,
28.0,='Preferred strand sizes'!$C19*25.4,0.0126,=(C19*1000)^2,156.0,60 Hz to 1 kHz,,,,,,
29.0,='Preferred strand sizes'!$C20*25.4,0.0113,=(C20*1000)^2,125.0,60 Hz to 1 kHz,,,,,,
30.0,='Preferred strand sizes'!$C21*25.4,0.01,=(C21*1000)^2,98.0,1 kHz to 10 kHz,,,,,,
31.0,='Preferred strand sizes'!$C22*25.4,0.0089,=(C22*1000)^2,77.6,1 kHz to 10 kHz,,,,,,
32.0,='Preferred strand sizes'!$C23*25.4,0.008,=(C23*1000)^2,62.7,1 kHz to 10 kHz,,,,,,
33.0,='Preferred strand sizes'!$C24*25.4,0.0071,=(C24*1000)^2,49.4,10 kHz - 20 kHz,,,,,,
34.0,='Preferred strand sizes'!$C25*25.4,0.0063,=(C25*1000)^2,38.9,10 kHz - 20 kHz,,,,,,
35.0,='Preferred strand sizes'!$C26*25.4,0.0056,=(C26*1000)^2,30.8,10 kHz - 20 kHz,,,,,,
36.0,='Preferred strand sizes'!$C27*25.4,0.005,=(C27*1000)^2,24.5,20 kHz - 50 kHz,,,,,,
37.0,='Preferred strand sizes'!$C28*25.4,0.0045,=(C28*1000)^2,19.8,20 kHz - 50 kHz,,,,,,
38.0,='Preferred strand sizes'!$C29*25.4,0.004,=(C29*1000)^2,15.7,50 kHz - 100 kHz,,,,,,
39.0,='Preferred strand sizes'!$C30*25.4,0.0035,=(C30*1000)^2,11.9,50 kHz - 100 kHz,,,,,,
40.0,='Preferred strand sizes'!$C31*25.4,0.0031,=(C31*1000)^2,9.42,100 kHz - 200 kHz,,,,,,
41.0,='Preferred strand sizes'!$C32*25.4,0.0028,=(C32*1000)^2,7.68,100 kHz - 200 kHz,,,,,,
42.0,='Preferred strand sizes'!$C33*25.4,0.0025,=(C33*1000)^2,6.13,200 kHz - 350 kHz,,,,,,
43.0,='Preferred strand sizes'!$C34*25.4,0.0022,=(C34*1000)^2,4.74,200 kHz - 350 kHz,,,,,,
44.0,='Preferred strand sizes'!$C35*25.4,0.002,=(C35*1000)^2,3.92,350 kHz - 850 kHz,,,,,,
45.0,='Preferred strand sizes'!$C36*25.4,0.00176,=(C36*1000)^2,3.04,350 kHz - 850 kHz,,,,,,
46.0,='Preferred strand sizes'!$C37*25.4,0.00157,=(C37*1000)^2,2.41,850 kHz - 1.4 MHz,,,,,,
47.0,='Preferred strand sizes'!$C38*25.4,0.0014,=(C38*1000)^2,1.92,850 kHz - 1.4 MHz,,,,,,
48.0,='Preferred strand sizes'!$C39*25.4,0.00124,=(C39*1000)^2,1.51,1.4 MHz - 3.0 MHz,,,,,,
49.0,='Preferred strand sizes'!$C40*25.4,0.00111,=(C40*1000)^2,1.21,1.4 MHz - 3.0 MHz,,,,,,
50.0,='Preferred strand sizes'!$C41*25.4,0.00099,=(C41*1000)^2,0.96,,,,,,,
